,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
0,Qaanaaq,77.48,-69.36,37.26,77,0,2.01,GL,1596169103
1,Korla,41.76,86.15,80.15,25,0,4.65,CN,1596169103
2,Berbera,10.44,45.01,90.63,49,96,15.55,SO,1596169103
3,Hobart,-42.88,147.33,60.01,51,75,11.41,AU,1596169065
4,Bambous Virieux,-20.34,57.76,70.0,88,40,6.93,MU,1596168809
5,Nikolskoye,59.7,30.79,59.0,87,90,6.71,RU,1596169104
6,Vardø,70.37,31.11,51.8,93,75,6.93,NO,1596169048
7,Belaya Gora,68.53,146.42,57.67,51,97,7.4,RU,1596169048
8,Port Elizabeth,-33.92,25.57,50.0,87,0,4.7,ZA,1596169104
9,New Norfolk,-42.78,147.06,60.01,72,100,1.01,AU,1596169105
10,Mataura,-46.19,168.86,56.66,72,92,2.93,NZ,1596169049
11,Arraial do Cabo,-22.97,-42.03,66.79,83,100,11.36,BR,1596169049
12,Udachny,66.42,112.4,68.0,37,0,6.71,RU,1596169049
13,Rikitea,-23.12,-134.97,72.97,88,100,12.97,PF,1596169050
14,Nhulunbuy,-12.23,136.77,80.6,54,75,16.11,AU,1596169050
15,Betafo,-19.83,46.85,55.89,87,6,4.41,MG,1596169050
16,Yellowknife,62.46,-114.35,68.0,52,20,6.93,CA,1596169050
17,Port Alfred,-33.59,26.89,55.54,77,0,7.58,ZA,1596169050
18,Cidreira,-30.18,-50.21,56.37,81,0,15.88,BR,1596169051
19,Albany,42.6,-73.97,69.01,98,83,5.39,US,1596169051
20,Waycross,31.21,-82.35,75.2,83,1,4.7,US,1596169051
21,Bowen,-20.02,148.23,75.0,53,90,17.22,AU,1596169051
22,Cape Town,-33.93,18.42,46.99,100,0,3.36,ZA,1596168770
23,Kruisfontein,-34.0,24.73,47.89,83,0,4.68,ZA,1596169052
24,Ponta do Sol,32.67,-17.1,66.2,72,20,5.82,PT,1596169052
25,Balkhash,46.84,74.98,77.0,25,36,11.18,KZ,1596169052
26,Zhuhai,22.28,113.57,87.01,88,40,17.22,CN,1596168768
27,Tilichiki,60.47,166.1,52.9,88,100,7.81,RU,1596169053
28,Pevek,69.7,170.31,35.78,97,100,9.78,RU,1596169053
29,Lompoc,34.64,-120.46,60.8,82,90,5.82,US,1596169053
30,Bodø,67.28,14.4,59.0,93,75,6.93,NO,1596169054
31,Buraidah,26.33,43.98,95.0,28,27,6.93,SA,1596168810
32,Vaini,-21.2,-175.2,73.4,69,20,9.17,TO,1596169055
33,Vila Velha,-20.33,-40.29,75.0,83,90,17.22,BR,1596168793
34,Saldanha,-33.01,17.94,46.4,93,0,5.7,ZA,1596169055
35,Bengkulu,-3.8,102.27,83.48,69,100,10.71,ID,1596169055
36,Culpeper,38.5,-77.97,73.4,94,75,6.29,US,1596169056
37,Tuktoyaktuk,69.45,-133.04,66.2,72,75,8.05,CA,1596168773
38,Atuona,-9.8,-139.03,79.2,73,57,19.44,PF,1596169056
39,Tasiilaq,65.61,-37.64,42.8,81,21,6.93,GL,1596169056
40,Dikson,73.51,80.55,55.83,65,100,13.24,RU,1596169057
41,Kota Belud,6.35,116.43,86.0,74,20,8.05,MY,1596169112
42,Puerto Ayora,-0.74,-90.35,66.99,92,74,1.01,EC,1596169112
43,Smirnykh,49.75,142.83,63.68,88,100,5.61,RU,1596169112
44,Dzhebariki-Khaya,62.22,135.8,80.24,30,0,0.98,RU,1596169112
45,Avarua,-21.21,-159.78,69.8,64,100,2.24,CK,1596169112
46,Muros,42.78,-9.06,62.01,93,75,4.7,ES,1596169113
47,Hailar,49.2,119.7,78.37,58,25,16.37,CN,1596169113
48,Manzhouli,49.6,117.43,75.22,60,80,6.69,CN,1596169114
49,Hithadhoo,-0.6,73.08,83.53,72,71,8.93,MV,1596169114
50,Balaguer,41.79,0.81,73.4,53,4,6.93,ES,1596169114
51,George Town,5.41,100.34,78.8,88,40,4.7,MY,1596169114
52,Saint-Philippe,-21.36,55.77,70.0,68,30,5.82,RE,1596169115
53,Bredasdorp,-34.53,20.04,44.6,100,0,8.05,ZA,1596168916
54,Kapaa,22.08,-159.32,80.6,74,40,23.04,US,1596169115
55,Burns Lake,54.23,-125.75,69.13,54,8,3.6,CA,1596168884
56,Lagoa,39.05,-27.98,69.12,74,61,13.87,PT,1596169115
57,Hermanus,-34.42,19.23,45.0,95,0,1.01,ZA,1596169116
58,Ribeira Grande,38.52,-28.7,69.66,75,7,11.52,PT,1596169116
59,Hong Kong,22.29,114.16,80.01,88,99,11.99,HK,1596169116
60,Port Hawkesbury,45.62,-61.35,68.0,77,75,4.7,CA,1596169116
61,Bambanglipuro,-7.95,110.28,81.36,67,44,13.87,ID,1596169116
62,Busselton,-33.65,115.33,64.99,47,10,6.24,AU,1596169117
63,Redmond,47.67,-122.12,79.0,56,0,3.2,US,1596169043
64,Eyl,7.98,49.82,81.55,60,0,30.65,SO,1596168880
65,Castro,-24.79,-50.01,48.49,90,80,11.32,BR,1596169073
66,Horní Jiřetín,50.57,13.55,55.0,75,36,2.48,CZ,1596169117
67,Salekhard,66.53,66.6,60.53,61,0,6.53,RU,1596168898
68,Salacgrīva,57.75,24.36,55.99,96,100,4.0,LV,1596169118
69,Longyearbyen,78.22,15.64,46.4,93,90,3.36,SJ,1596168841
70,Lipin Bor,60.26,37.98,56.82,87,11,9.95,RU,1596169047
71,Bathsheba,13.22,-59.52,80.6,83,75,5.82,BB,1596169118
72,Vuktyl,63.86,57.31,58.96,65,100,14.81,RU,1596169119
73,Nador,35.17,-2.93,77.0,94,90,3.36,MA,1596169119
74,West Bay,19.37,-81.42,86.0,75,3,5.99,KY,1596169119
75,Saint George,37.1,-113.58,100.4,9,1,6.93,US,1596169119
76,Jamestown,42.1,-79.24,64.4,82,1,5.82,US,1596169120
77,Baharly,38.44,57.43,77.86,39,16,13.15,TM,1596169121
78,Nishihara,26.18,127.76,91.4,70,20,12.75,JP,1596169121
79,College,64.86,-147.8,78.8,33,75,10.29,US,1596169121
80,Ushuaia,-54.8,-68.3,33.8,74,20,4.7,AR,1596168915
81,Roald,62.58,6.13,55.99,93,58,3.36,NO,1596169122
82,Alice Springs,-23.7,133.88,69.8,13,0,8.05,AU,1596168906
83,San Patricio,19.22,-104.7,80.17,80,100,2.57,MX,1596169122
84,São Filipe,14.9,-24.5,75.25,76,11,6.71,CV,1596169122
85,Calabozo,8.92,-67.43,73.45,93,91,2.35,VE,1596169123
86,Bingöl,38.88,40.49,73.06,45,0,7.78,TR,1596169123
87,Narsaq,60.92,-46.05,44.6,87,100,5.82,GL,1596169123
88,Jaciara,-15.97,-54.97,70.45,53,49,0.58,BR,1596169123
89,Thompson,55.74,-97.86,64.4,100,90,6.93,CA,1596169124
90,Inhambane,-23.86,35.38,64.26,84,1,9.19,MZ,1596169124
91,Nome,64.5,-165.41,55.99,87,75,9.17,US,1596168930
92,Lebu,-37.62,-73.65,50.14,93,33,12.48,CL,1596169124
