city_id,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
1,Norfolk,42.17,-71.25,68.0,88,1,2.42,US,1596259718
2,Punta Arenas,-53.15,-70.92,37.4,86,98,11.41,CL,1596259417
3,Cañon City,38.44,-105.24,68.0,56,1,18.34,US,1596259472
4,Rikitea,-23.12,-134.97,73.56,85,100,5.03,PF,1596259719
5,Richards Bay,-28.78,32.04,57.6,87,1,6.31,ZA,1596259719
6,Chkalovsk,56.76,43.24,64.4,72,53,4.47,RU,1596259719
7,Lakatoro,-16.1,167.42,80.6,83,75,3.36,VU,1596259719
8,Maxixe,-23.86,35.35,55.4,93,20,2.24,MZ,1596259719
9,Hermanus,-34.42,19.23,46.0,97,0,4.34,ZA,1596259719
10,Carnarvon,-24.87,113.63,69.8,60,6,17.22,AU,1596259720
11,Broome,42.25,-75.83,66.2,77,1,4.7,US,1596259720
12,Minatitlán,17.98,-94.52,77.32,90,1,4.72,MX,1596259720
13,Ushuaia,-54.8,-68.3,42.8,83,90,13.87,AR,1596259646
14,Hunchun,42.87,130.36,85.71,54,94,9.84,CN,1596259721
15,Ariguaní,10.25,-74.0,75.99,88,19,1.01,CO,1596259721
16,Karla,59.37,24.93,60.01,72,0,8.05,EE,1596259721
17,Sept-Îles,50.2,-66.38,60.01,100,75,5.82,CA,1596259387
18,Albany,42.6,-73.97,72.0,64,0,3.76,US,1596259344
19,Anadyr,64.75,177.48,60.8,67,75,13.42,RU,1596259722
20,Yakeshi,49.28,120.73,83.46,39,54,6.96,CN,1596259499
21,Severobaykal'sk,55.65,109.32,65.79,70,98,4.29,RU,1596259722
22,Airai,-8.93,125.41,72.05,47,9,4.43,TL,1596259722
23,Nouadhibou,20.93,-17.03,77.0,78,73,12.75,MR,1596259516
24,Hilo,19.73,-155.09,73.4,83,90,9.17,US,1596259209
25,Arandis,-22.42,14.97,73.99,21,0,26.04,NA,1596259723
26,Salto,-31.38,-57.97,53.01,96,13,1.99,UY,1596259643
27,Kambove,-10.88,26.6,51.21,56,9,7.72,CD,1596259724
28,Vestmannaeyjar,63.44,-20.27,53.2,90,100,5.91,IS,1596259453
29,Talnakh,69.49,88.4,62.6,72,75,20.13,RU,1596259418
30,Vaini,-21.2,-175.2,69.8,77,20,8.05,TO,1596259405
31,Atar,20.52,-13.05,87.76,49,5,3.87,MR,1596259403
32,Iskateley,67.68,53.15,55.83,83,100,12.35,RU,1596259726
33,Avarua,-21.21,-159.78,66.2,82,30,1.12,CK,1596259411
34,Beatrice,40.27,-96.75,66.0,93,1,3.51,US,1596259720
35,De Aar,-30.65,24.01,40.39,65,0,2.86,ZA,1596259465
36,Trincomalee,8.57,81.23,87.28,67,86,16.11,LK,1596259727
